Item ID	Item value	Change in Kuiper test statistic when item removed
PHB1	22.8221684934093	-0.005387886178348844
NIP7	21.6647835710206	-0.005387886178348844
NOP2	21.1715884550366	-0.005387886178348844
PPAN	21.3769106205709	-0.005387886178348844
NOLC1	21.2754247546096	-0.005387886178348844
HSPD1	22.0672260927138	-0.005387886178348844
RRP9	21.7689419271852	-0.005387886178348844
SRM	22.0787381571379	-0.005387886178348844
MYC	15.9258327608287	0.030326399535936965
RRP12	20.9914248877055	-0.005387886178348844
NOP56	22.2131838652901	-0.005387886178348844
DUSP2	13.4922636308704	0.030326399535936965
NPM1	23.7032239444356	0.029556650246305383
NOP16	21.9996175468547	-0.005387886178348844
PUS1	22.0306248229221	-0.005387886178348844
PRMT3	22.3286330492038	-0.005387886178348844
WDR74	21.5792041520684	-0.005387886178348844
IMP4	21.5412326199388	-0.005387886178348844
PA2G4	22.6265741259748	-0.005387886178348844
HSPE1	22.8645550702439	-0.0043915280998720885
PPRC1	18.9709299120848	0.030326399535936965
BYSL	21.1834960461096	-0.005387886178348844
CDK4	22.4280157023565	-0.005387886178348844
GRWD1	20.9683235466406	-0.005387886178348844
NDUFAF4	21.1475464126515	-0.005387886178348844
MRTO4	22.7141652078627	-0.005387886178348844
MCM5	6.22201800664874	0.030326399535936965
FARSA	20.6620825954656	0.007372153453942931
DCTPP1	22.1836190096234	-0.005387886178348844
