Item ID	Item value	Change in Kuiper test statistic when item removed
H2AX	21.1463011658031	-0.004615384615384577
NOLC1	21.2754247546096	-0.004615384615384577
HSP90B1	23.3369895424374	-0.004615384615384577
RRP9	21.7689419271852	-0.004615384615384577
CCL2	19.6220906766611	0.03538461538461546
BANF1	23.6214253892995	-0.004615384615384577
IARS1	22.1761911466023	-0.004615384615384577
NOP56	22.2131838652901	-0.004615384615384577
NPM1	23.7032239444356	-0.004615384615384577
HSPA5	21.875351230392	-0.004615384615384577
NFYA	21.1657565843819	-0.004615384615384577
FUS	23.6179751214807	-0.004615384615384577
ASNS	23.6670024062879	-0.004615384615384577
DDX10	22.5105214944354	-0.004615384615384577
YIF1A	22.1827074818805	-0.004615384615384577
VEGFA	17.4629770176476	0.03538461538461546
TUBB2A	20.7801878328791	0.003689672365248642
DKC1	22.1407324716657	-0.004615384615384577
MTHFD2	22.3129546623791	-0.004615384615384577
NHP2	22.7286423164177	-0.004615384615384577
SRPRB	21.332799260662	-0.004615384615384577
HYOU1	22.0473784481001	-0.004615384615384577
PREB	20.9795092004143	-0.004615384615384577
CALR	0.125042550852829	0.012960390652000164
TARS1	21.881864672666	-0.004615384615384577
ATF3	16.8669219099441	0.03538461538461546
