Item ID	Item value	Change in Kuiper test statistic when item removed
CDKN1A	15.040253963567	-0.006938775510203887
CDKN1B	11.4053621366473	-0.006938775510203887
ZNF292	10.6498922954758	-0.006938775510203887
SERPINE1	20.6704257543274	0.013469387755102258
SLC2A1	11.071518733285	-0.006938775510203887
TNFAIP3	12.5028682235177	-0.006938775510203887
IRS2	10.5411852787668	-0.006938775510203887
RORA	10.0982228274156	-0.006938775510203887
SLC2A3	15.6058727362155	-0.006938775510203887
ENO1	21.3434713176312	0.013469387755102258
MT2A	21.0715149520126	0.013469387755102258
ZFP36	15.6527053528631	-0.006938775510203887
CSRP2	21.3962491726726	0.013469387755102258
CCN1	16.1502016660043	-0.006938775510203887
IER3	14.5984230901024	-0.006938775510203887
PDK1	12.8839011288311	-0.006938775510203887
TPI1	21.3856136470786	0.013469387755102258
PRKCA	6.0997984227837	0.013469387755102202
FOS	12.1170631759686	-0.006938775510203887
F3	9.47901243909595	0.013469387755102202
PGF	18.7218092504099	0.00802721088435493
JMJD6	17.0400173921592	-0.006938775510203887
PPP1R3C	15.4687890001658	-0.006938775510203887
DDIT3	16.0256985086469	-0.006938775510203887
GAPDH	21.4813041353375	0.013469387755102258
ATF3	16.8669219099441	-0.006938775510203887
KDM3A	11.0107049544035	-0.006938775510203887
SDC4	9.44855465914902	0.013469387755102202
LDHA	20.4446135224496	0.013469387755102258
NFIL3	14.2085549141083	-0.006938775510203887
GPC1	9.97290640217459	0.004625850340136073
HAS1	13.5154713539829	-0.006938775510203887
NOCT	17.7190500188613	-0.006938775510203887
PGK1	21.6260920327145	0.013469387755102258
HMOX1	23.0651165099019	0.013469387755102258
PPARGC1A	14.1743600158438	-0.006938775510203887
JUN	15.9131694027589	-0.006938775510203887
HSPA5	21.875351230392	0.013469387755102258
TIPARP	12.2319172493869	-0.006938775510203887
FOSL2	12.0347839282573	-0.006938775510203887
VEGFA	17.4629770176476	-0.006938775510203887
EFNA1	12.7809697180645	-0.006938775510203887
ISG20	20.6116291217149	0.013469387755102258
EFNA3	10.1499787181729	-0.006938775510203887
NAGK	21.7702945768006	0.013469387755102258
BHLHE40	13.3986752597411	-0.006938775510203887
MAFF	15.0359069577085	-0.006938775510203887
BCL2	8.75904037379471	0.013469387755102202
ACKR3	12.2873840105883	-0.006938775510203887
PFKP	19.9402229924534	0.013469387755102258
