Item ID	Item value	Change in Kuiper test statistic when item removed
PHB1	4.82216849340927	-0.006157635467980316
NIP7	3.66478357102062	-0.006157635467980316
NOP2	3.17158845503664	-0.006157635467980316
PPAN	3.37691062057094	-0.006157635467980316
NOLC1	3.2754247546096	-0.006157635467980316
HSPD1	4.0672260927138	-0.006157635467980316
RRP9	3.76894192718523	-0.006157635467980316
SRM	4.07873815713793	-0.006157635467980316
MYC	21.9258327608287	0.029556650246305383
RRP12	2.99142488770549	-0.006157635467980316
NOP56	4.2131838652901	-0.006157635467980316
DUSP2	19.4922636308704	0.029556650246305383
NPM1	5.70322394443561	0.029556650246305383
NOP16	3.99961754685473	-0.006157635467980316
PUS1	4.03062482292215	-0.006157635467980316
PRMT3	4.32863304920382	-0.006157635467980316
WDR74	3.57920415206841	-0.006157635467980316
IMP4	3.54123261993882	-0.006157635467980316
PA2G4	4.62657412597478	-0.006157635467980316
HSPE1	4.86455507024386	-0.0020760028149191534
PPRC1	0.970929912084809	0.029556650246305383
BYSL	3.18349604610956	-0.006157635467980316
CDK4	4.42801570235649	-0.006157635467980316
GRWD1	2.96832354664058	-0.006157635467980316
NDUFAF4	3.1475464126515	-0.006157635467980316
MRTO4	4.7141652078627	-0.006157635467980316
MCM5	12.2220180066487	0.029556650246305383
FARSA	2.66208259546556	0.023094065212291626
DCTPP1	4.18361900962336	-0.006157635467980316
